dataset_id,source,n_samples,n_features,n_classes,description
synth_elongated_aspect20_3d,synthetic,800,3,4,elongated_aspect20_3d
openml_61,openml,150,4,3,iris
openml_1471,openml,14980,14,2,eeg-eye-state
openml_1476,openml,13910,128,6,gas-drift
openml_1478,openml,10299,50,6,har
openml_300,openml,7797,50,26,isolet
openml_1466,openml,2126,35,10,cardiotocography
openml_1596,openml,20000,54,7,covertype
openml_40927,openml,20000,50,10,CIFAR_10
openml_40668,openml,20000,42,3,connect-4
openml_1169,openml,20000,7,2,airlines
openml_36,openml,2310,19,7,segment
openml_60,openml,5000,40,3,waveform-5000
openml_1504,openml,1941,33,2,steel-plates-fault
openml_40496,openml,500,7,10,LED-display-domain-7digit
openml_40900,openml,5100,36,2,Satellite
openml_40536,openml,8378,120,2,SpeedDating
openml_23517,openml,20000,21,2,numerai28.6
openml_4135,openml,20000,9,2,Amazon_employee_access
openml_1038,openml,3468,50,2,gina_agnostic
openml_1040,openml,14395,108,2,sylva_prior
openml_1120,openml,19020,10,2,MagicTelescope
openml_41143,openml,2984,144,2,jasmine
openml_41147,openml,20000,78,2,albert
openml_1457,openml,1500,50,50,amazon-commerce-reviews
openml_375,openml,9961,14,9,JapaneseVowels
openml_1468,openml,1080,50,9,cnae-9
openml_679,openml,1024,2,4,rmftsa_sleepdata
openml_40685,openml,20000,9,7,shuttle
openml_1515,openml,571,50,20,micro-mass
openml_41026,openml,7000,50,2,gisette
openml_40478,openml,2800,26,5,thyroid-dis
openml_1558,openml,4521,16,2,bank-marketing
img_mnist_digits_5k,image,5000,50,10,MNIST digits 5k PCA-50
img_mnist_digits_2k,image,2000,50,10,MNIST digits 2k PCA-50
img_fashion_mnist_5k,image,5000,50,10,Fashion-MNIST 5k PCA-50
img_fashion_mnist_2k,image,2000,50,10,Fashion-MNIST 2k PCA-50
text_20ng_all,text,5000,50,20,20NG all categories TF-IDF SVD-50
text_20ng_science,text,2000,50,4,20NG science TF-IDF SVD-50
text_20ng_politics,text,2000,50,4,20NG politics+religion TF-IDF SVD-50
text_20ng_comp,text,2000,50,5,20NG computers TF-IDF SVD-50
text_20ng_rec,text,2000,50,4,20NG recreation TF-IDF SVD-50
synth_grid_d2_k3_lowoverlap,synthetic,600,2,3,grid d=2 k=3 overlap=low
synth_grid_d2_k3_medoverlap,synthetic,600,2,3,grid d=2 k=3 overlap=med
synth_grid_d2_k3_highoverlap,synthetic,600,2,3,grid d=2 k=3 overlap=high
synth_grid_d2_k6_lowoverlap,synthetic,1200,2,6,grid d=2 k=6 overlap=low
synth_grid_d2_k6_medoverlap,synthetic,1200,2,6,grid d=2 k=6 overlap=med
synth_grid_d2_k6_highoverlap,synthetic,1200,2,6,grid d=2 k=6 overlap=high
synth_grid_d2_k10_lowoverlap,synthetic,2000,2,10,grid d=2 k=10 overlap=low
synth_grid_d2_k10_medoverlap,synthetic,2000,2,10,grid d=2 k=10 overlap=med
synth_grid_d2_k10_highoverlap,synthetic,2000,2,10,grid d=2 k=10 overlap=high
synth_grid_d5_k3_lowoverlap,synthetic,600,5,3,grid d=5 k=3 overlap=low
synth_grid_d5_k3_medoverlap,synthetic,600,5,3,grid d=5 k=3 overlap=med
synth_grid_d5_k3_highoverlap,synthetic,600,5,3,grid d=5 k=3 overlap=high
synth_grid_d5_k6_lowoverlap,synthetic,1200,5,6,grid d=5 k=6 overlap=low
synth_grid_d5_k6_medoverlap,synthetic,1200,5,6,grid d=5 k=6 overlap=med
synth_grid_d5_k6_highoverlap,synthetic,1200,5,6,grid d=5 k=6 overlap=high
synth_grid_d5_k10_lowoverlap,synthetic,2000,5,10,grid d=5 k=10 overlap=low
synth_grid_d5_k10_medoverlap,synthetic,2000,5,10,grid d=5 k=10 overlap=med
synth_grid_d5_k10_highoverlap,synthetic,2000,5,10,grid d=5 k=10 overlap=high
synth_grid_d15_k3_lowoverlap,synthetic,600,15,3,grid d=15 k=3 overlap=low
synth_grid_d15_k3_medoverlap,synthetic,600,15,3,grid d=15 k=3 overlap=med
synth_grid_d15_k3_highoverlap,synthetic,600,15,3,grid d=15 k=3 overlap=high
synth_grid_d15_k6_lowoverlap,synthetic,1200,15,6,grid d=15 k=6 overlap=low
synth_grid_d15_k6_medoverlap,synthetic,1200,15,6,grid d=15 k=6 overlap=med
synth_grid_d15_k6_highoverlap,synthetic,1200,15,6,grid d=15 k=6 overlap=high
synth_grid_d15_k10_lowoverlap,synthetic,2000,15,10,grid d=15 k=10 overlap=low
synth_grid_d15_k10_medoverlap,synthetic,2000,15,10,grid d=15 k=10 overlap=med
synth_grid_d15_k10_highoverlap,synthetic,2000,15,10,grid d=15 k=10 overlap=high
synth_grid_d30_k3_lowoverlap,synthetic,600,30,3,grid d=30 k=3 overlap=low
synth_grid_d30_k3_medoverlap,synthetic,600,30,3,grid d=30 k=3 overlap=med
synth_grid_d30_k3_highoverlap,synthetic,600,30,3,grid d=30 k=3 overlap=high
synth_grid_d30_k6_lowoverlap,synthetic,1200,30,6,grid d=30 k=6 overlap=low
synth_grid_d30_k6_medoverlap,synthetic,1200,30,6,grid d=30 k=6 overlap=med
synth_grid_d30_k6_highoverlap,synthetic,1200,30,6,grid d=30 k=6 overlap=high
synth_grid_d30_k10_lowoverlap,synthetic,2000,30,10,grid d=30 k=10 overlap=low
synth_grid_d30_k10_medoverlap,synthetic,2000,30,10,grid d=30 k=10 overlap=med
synth_grid_d30_k10_highoverlap,synthetic,2000,30,10,grid d=30 k=10 overlap=high
synth_ellipsoidal_d3_k3,synthetic,600,3,3,ellipsoidal d=3 k=3
synth_ellipsoidal_d3_k5,synthetic,1000,3,5,ellipsoidal d=3 k=5
synth_ellipsoidal_d3_k8,synthetic,1600,3,8,ellipsoidal d=3 k=8
synth_ellipsoidal_d10_k3,synthetic,600,10,3,ellipsoidal d=10 k=3
synth_ellipsoidal_d10_k5,synthetic,1000,10,5,ellipsoidal d=10 k=5
synth_ellipsoidal_d10_k8,synthetic,1600,10,8,ellipsoidal d=10 k=8
synth_ellipsoidal_d20_k3,synthetic,600,20,3,ellipsoidal d=20 k=3
synth_ellipsoidal_d20_k5,synthetic,1000,20,5,ellipsoidal d=20 k=5
synth_ellipsoidal_d20_k8,synthetic,1600,20,8,ellipsoidal d=20 k=8
synth_swiss_roll_k3,synthetic,1500,3,3,swiss roll 3 clusters
synth_swiss_roll_k5,synthetic,1500,3,5,swiss roll 5 clusters
synth_s_curve_k3,synthetic,1500,3,3,s-curve 3 clusters
synth_s_curve_k4,synthetic,1500,3,4,s-curve 4 clusters
synth_imb_mild_d5,synthetic,1000,5,3,imbalanced mild d=5
synth_imb_mild_d15,synthetic,1000,15,3,imbalanced mild d=15
synth_imb_moderate_d5,synthetic,1000,5,3,imbalanced moderate d=5
synth_imb_moderate_d15,synthetic,1000,15,3,imbalanced moderate d=15
synth_imb_extreme_d5,synthetic,1000,5,4,imbalanced extreme d=5
synth_imb_extreme_d15,synthetic,1000,15,4,imbalanced extreme d=15
synth_imb_many_small_d5,synthetic,950,5,6,imbalanced many_small d=5
synth_imb_many_small_d15,synthetic,950,15,6,imbalanced many_small d=15
synth_noisy_5pct_d2,synthetic,1000,2,5,noisy 5% d=2
synth_noisy_5pct_d10,synthetic,1000,10,5,noisy 5% d=10
synth_noisy_15pct_d2,synthetic,1000,2,5,noisy 15% d=2
synth_noisy_15pct_d10,synthetic,1000,10,5,noisy 15% d=10
synth_noisy_25pct_d2,synthetic,1000,2,5,noisy 25% d=2
synth_noisy_25pct_d10,synthetic,1000,10,5,noisy 25% d=10
synth_subspace_2of50,synthetic,1000,50,4,subspace 2/50
synth_subspace_3of100,synthetic,1000,100,4,subspace 3/100
synth_subspace_5of200,synthetic,1000,200,4,subspace 5/200
synth_mixed_shapes_2d,synthetic,900,2,5,mixed shapes 2D
synth_density_varying_d2,synthetic,1000,2,5,density varying d=2
synth_density_varying_d5,synthetic,1000,5,5,density varying d=5
